criticalLevel,workType,responseTime,processingDuration,resolutionDuration,start,planned,replanned,postponed,occupant_absent,requested,Class
0,preventive,0,]24-48],]24-48],True,False,True,False,False,False,TMH - visite entretien ventilation
0,preventive,]48-72],]72--[,]72--[,False,True,True,False,False,False,TMH - visite entretien ventilation
0,corrective,]48-72],]0-1],]48-72],True,True,True,False,False,True,TMH - dépannage ventilation
0,preventive,]72--[,]4-16],]72--[,False,True,True,False,False,False,TMH - visite entretien ventilation
0,corrective,]24-48],0,]24-48],True,False,True,False,False,True,TMH - dépannage ventilation
0,corrective,]24-48],]2-4],]48-72],True,False,True,False,False,True,Dépannage
0,preventive,]72--[,]16-24],]72--[,True,True,True,False,False,False,TMH - visite entretien ventilation
1,corrective,]24-48],]24-48],]48-72],True,True,True,False,False,True,TMH - dépannage ventilation
0,preventive,]72--[,]72--[,]72--[,True,True,True,True,True,False,TMH - visite entretien ventilation
0,preventive,]72--[,0,]72--[,False,True,False,False,False,False,TMH - visite entretien ventilation
0,corrective,]24-48],]24-48],]48-72],True,True,True,False,False,True,TMH - dépannage ventilation
1,corrective,]48-72],]72--[,]72--[,True,True,True,False,False,True,TMH - dépannage ventilation
1,corrective,]72--[,]72--[,]72--[,True,True,True,False,False,True,TMH - dépannage ventilation
0,preventive,]72--[,]72--[,]72--[,True,True,True,True,False,True,TMH - visite entretien ventilation
0,preventive,]24-48],]4-16],]48-72],True,True,True,False,False,False,TMH - visite entretien ventilation
0,corrective,]72--[,]1-2],]72--[,True,True,False,False,False,True,TMH - dépannage ventilation
0,corrective,]48-72],]2-4],]72--[,True,True,True,False,False,True,TMH - dépannage ventilation
0,corrective,0,]0-1],]0-1],True,False,False,False,False,False,TMH - dépannage ventilation
1,corrective,]24-48],]24-48],]72--[,True,False,True,False,False,True,TMH - dépannage ventilation
0,preventive,]48-72],]0-1],]72--[,True,True,False,False,False,False,TMH - visite entretien ventilation
1,corrective,]48-72],]48-72],]72--[,True,True,True,False,False,True,TMH - dépannage ventilation
0,corrective,]72--[,]72--[,]72--[,True,True,True,False,True,True,Dépannage
0,corrective,]72--[,]72--[,]72--[,True,False,True,True,False,True,TMH - dépannage ventilation
1,corrective,]48-72],]2-4],]48-72],True,True,False,False,False,True,TMH - dépannage ventilation
0,preventive,]72--[,]2-4],]72--[,True,True,True,False,False,True,TMH - visite entretien ventilation
0,preventive,0,]1-2],]1-2],False,False,False,True,False,False,TMH - visite entretien ventilation
0,preventive,0,]72--[,]72--[,True,True,True,True,False,False,TMH - visite entretien ventilation
0,corrective,]0-1],]0-1],]0-1],True,True,False,False,False,True,TMH - dépannage ventilation
0,preventive,]0-1],]24-48],]24-48],True,True,False,False,False,False,TMH - visite entretien ventilation
0,preventive,]72--[,]1-2],]72--[,True,True,False,False,False,False,TMH - visite entretien ventilation
0,preventive,]24-48],]2-4],]24-48],True,True,True,False,False,False,TMH - visite entretien ventilation
0,preventive,]72--[,]2-4],]72--[,True,True,True,False,False,True,TMH - visite entretien ventilation
0,preventive,]72--[,]1-2],]72--[,True,True,True,False,False,True,TMH - visite entretien ventilation
0,preventive,]0-1],]4-16],]4-16],True,True,True,False,False,False,TMH - visite entretien ventilation
0,preventive,]72--[,]72--[,]72--[,True,True,True,False,False,True,TMH - visite entretien ventilation
0,preventive,]24-48],]16-24],]24-48],True,True,True,False,False,False,TMH - visite entretien ventilation
0,corrective,]72--[,]1-2],]72--[,True,False,True,False,False,True,TMH - dépannage ventilation
0,corrective,]72--[,]2-4],]72--[,True,False,True,False,False,True,TMH - dépannage ventilation
1,corrective,]72--[,]72--[,]72--[,True,True,True,False,False,True,TMH - dépannage ventilation
1,corrective,]4-16],]72--[,]72--[,True,True,True,True,False,True,TMH - dépannage ventilation
0,preventive,]72--[,]72--[,]72--[,True,True,True,True,False,False,TMH - visite entretien ventilation
0,preventive,0,]0-1],]0-1],False,False,False,False,True,False,TMH - visite entretien ventilation
0,preventive,]72--[,]72--[,]72--[,True,True,False,False,True,False,TMH - visite entretien caisson VMC sanitaire
0,preventive,]16-24],]72--[,]72--[,True,True,True,True,False,False,TMH - visite entretien ventilation
1,corrective,]48-72],]1-2],]48-72],True,True,False,False,False,True,TMH - dépannage ventilation
0,corrective,]72--[,]0-1],]72--[,True,True,True,False,False,True,TMH - dépannage ventilation
0,corrective,]24-48],]72--[,]72--[,True,True,True,False,True,True,TMH - dépannage ventilation
0,preventive,]0-1],]0-1],]1-2],True,True,False,False,False,False,TMH - visite entretien ventilation
0,preventive,]72--[,]72--[,]72--[,True,True,True,True,False,False,TMH - visite entretien ventilation
0,corrective,]48-72],]4-16],]48-72],True,False,True,False,False,True,TMH - dépannage ventilation
0,preventive,0,]16-24],]16-24],False,False,False,False,True,False,TMH - visite entretien ventilation
0,preventive,]24-48],]72--[,]72--[,True,True,True,False,False,False,TMH - visite entretien ventilation
1,corrective,]72--[,]4-16],]72--[,True,False,True,False,False,True,TMH - dépannage ventilation
0,preventive,]4-16],]0-1],]4-16],True,True,True,False,False,False,TMH - visite entretien ventilation
1,corrective,]48-72],]4-16],]72--[,True,False,True,False,False,True,TMH - dépannage ventilation
0,preventive,]72--[,]72--[,]72--[,True,True,True,True,False,True,TMH - visite entretien ventilation
0,preventive,]72--[,]48-72],]72--[,True,True,True,False,False,True,TMH - visite entretien ventilation
0,preventive,]0-1],]0-1],]0-1],True,True,False,False,False,True,TMH - visite entretien ventilation
0,preventive,]16-24],]1-2],]24-48],True,True,False,False,False,False,TMH - visite entretien ventilation
0,preventive,]0-1],0,]0-1],False,True,False,False,False,False,TMH - visite entretien ventilation
0,preventive,]16-24],]2-4],]16-24],True,True,True,False,False,False,TMH - visite entretien ventilation
0,preventive,]72--[,]2-4],]72--[,True,True,True,False,False,False,TMH - visite entretien caisson VMC sanitaire
1,corrective,]48-72],]4-16],]48-72],True,True,True,False,False,True,TMH - dépannage ventilation
1,corrective,]24-48],]0-1],]48-72],True,True,False,False,False,True,TMH - dépannage ventilation
1,corrective,]24-48],]4-16],]48-72],True,True,True,False,False,True,TMH - dépannage ventilation
0,preventive,]72--[,]0-1],]72--[,False,True,True,True,False,False,TMH - visite entretien ventilation
0,preventive,0,0,0,False,False,False,True,False,False,TMH - visite entretien ventilation
0,corrective,]24-48],]4-16],]24-48],True,True,False,False,False,True,TMH - dépannage ventilation
0,preventive,]72--[,]4-16],]72--[,True,True,True,False,False,False,TMH - visite entretien ventilation
0,preventive,]1-2],]0-1],]2-4],True,True,False,False,False,False,TMH - visite entretien ventilation
0,preventive,]72--[,]2-4],]72--[,True,True,False,False,False,False,TMH - visite entretien ventilation
0,preventive,]48-72],]72--[,]72--[,True,True,True,True,False,False,TMH - visite entretien ventilation
1,corrective,0,]72--[,]72--[,True,False,True,True,False,True,TMH - dépannage ventilation
0,preventive,]72--[,]72--[,]72--[,True,True,True,False,True,False,TMH - visite entretien ventilation
0,preventive,0,]0-1],]0-1],False,False,True,True,False,False,TMH - visite entretien ventilation
0,corrective,]24-48],]4-16],]24-48],True,False,True,False,False,True,TMH - dépannage ventilation
0,preventive,]72--[,]24-48],]72--[,True,True,False,False,False,False,TMH - visite entretien ventilation
0,preventive,]24-48],]0-1],]24-48],True,True,False,False,False,False,TMH - visite entretien ventilation
1,corrective,]72--[,]2-4],]72--[,True,False,True,False,False,True,TMH - dépannage ventilation
0,preventive,]72--[,]72--[,]72--[,True,True,False,False,False,True,TMH - visite entretien ventilation
0,preventive,]72--[,]72--[,]72--[,True,True,True,False,True,False,TMH - visite entretien ventilation
0,preventive,]72--[,]72--[,]72--[,True,True,False,False,True,False,TMH - visite entretien ventilation
0,preventive,]4-16],]4-16],]4-16],True,True,True,False,False,False,TMH - visite entretien ventilation
0,preventive,]72--[,]0-1],]72--[,True,True,True,True,False,False,TMH - visite entretien ventilation
1,corrective,]48-72],]72--[,]72--[,True,True,True,True,True,True,TMH - dépannage ventilation
0,corrective,]72--[,]2-4],]72--[,True,True,False,False,False,True,TMH - dépannage ventilation
0,preventive,]72--[,]72--[,]72--[,False,True,False,False,False,False,TMH - visite entretien ventilation
0,preventive,0,0,0,False,False,False,False,True,False,TMH - visite entretien ventilation
0,preventive,]16-24],0,]16-24],False,True,False,False,False,False,TMH - visite entretien ventilation
0,preventive,]2-4],]0-1],]2-4],True,True,False,False,False,False,TMH - visite entretien caisson VMC sanitaire
0,preventive,]72--[,]16-24],]72--[,True,True,False,False,False,False,TMH - visite entretien ventilation
0,preventive,]72--[,]1-2],]72--[,True,True,True,False,False,True,TMH - visite entretien ventilation
0,preventive,]72--[,]72--[,]72--[,True,True,True,False,False,False,TMH - visite entretien ventilation
1,corrective,]2-4],]72--[,]72--[,True,True,True,True,False,True,TMH - dépannage ventilation
0,preventive,]16-24],]72--[,]72--[,True,True,True,True,False,False,TMH - visite entretien ventilation
0,preventive,]0-1],]0-1],]1-2],True,True,True,False,False,False,TMH - visite entretien ventilation
0,preventive,]24-48],]24-48],]72--[,True,True,True,False,False,False,TMH - visite entretien ventilation
1,corrective,]16-24],]24-48],]48-72],True,True,False,False,False,True,TMH - dépannage ventilation
1,corrective,]16-24],]16-24],]24-48],True,True,True,True,False,True,TMH - dépannage ventilation
0,preventive,]24-48],]4-16],]24-48],True,True,True,False,False,False,TMH - visite entretien caisson VMC sanitaire
0,preventive,]72--[,]0-1],]72--[,True,True,False,False,False,False,TMH - visite entretien caisson VMC sanitaire
0,corrective,]48-72],]24-48],]72--[,True,False,True,False,False,True,TMH - dépannage ventilation
0,preventive,]0-1],]2-4],]2-4],True,True,False,False,False,False,TMH - visite entretien ventilation
0,preventive,]0-1],]2-4],]2-4],True,True,True,False,False,False,TMH - visite entretien ventilation
0,corrective,]72--[,]2-4],]72--[,True,True,True,False,False,True,TMH - dépannage ventilation
1,corrective,]16-24],]0-1],]24-48],True,True,False,False,False,True,TMH - dépannage ventilation
0,corrective,]4-16],]0-1],]4-16],True,False,True,False,False,True,TMH - dépannage ventilation
0,corrective,]72--[,]72--[,]72--[,True,True,True,False,False,True,TMH - dépannage ventilation
0,preventive,]72--[,]0-1],]72--[,True,True,True,True,False,False,TMH - visite entretien ventilation
0,corrective,]48-72],]72--[,]72--[,True,True,True,False,False,True,TMH - dépannage ventilation
1,corrective,0,]4-16],]4-16],True,False,True,False,False,True,TMH - dépannage ventilation
0,preventive,]72--[,]24-48],]72--[,True,True,True,False,False,True,TMH - visite entretien ventilation
0,preventive,0,]24-48],]24-48],True,True,True,True,True,False,TMH - visite entretien ventilation
1,corrective,]72--[,]72--[,]72--[,True,True,True,False,False,True,ALTEAL - dépannage multiservice
0,corrective,]48-72],]4-16],]72--[,True,True,True,False,False,True,TMH - dépannage ventilation
0,preventive,]0-1],0,]0-1],False,False,False,False,False,True,TMH - visite entretien ventilation
1,corrective,]16-24],]16-24],]24-48],True,True,False,False,False,True,TMH - dépannage ventilation
0,preventive,0,]0-1],]0-1],True,False,False,False,False,False,TMH - visite entretien ventilation
0,corrective,]24-48],]72--[,]72--[,True,True,True,False,False,True,TMH - dépannage ventilation
0,corrective,]72--[,]1-2],]72--[,True,True,True,False,False,True,Dépannage
1,corrective,]4-16],]72--[,]72--[,True,True,False,False,False,True,TMH - dépannage ventilation
0,preventive,]0-1],]0-1],]0-1],True,True,False,False,False,False,TMH - visite entretien ventilation
0,preventive,]24-48],]2-4],]48-72],True,True,True,False,False,False,TMH - visite entretien ventilation
0,preventive,0,]24-48],]24-48],False,False,True,True,False,False,TMH - visite entretien ventilation
1,corrective,]72--[,]72--[,]72--[,True,True,True,False,False,True,TMH - dépannage ventilation
0,preventive,]72--[,]0-1],]72--[,True,True,True,False,False,True,TMH - visite entretien ventilation
0,preventive,]24-48],]0-1],]24-48],True,True,False,False,False,False,TMH - visite entretien caisson VMC sanitaire
0,preventive,]48-72],]72--[,]72--[,True,True,True,True,True,False,TMH - visite entretien ventilation
0,preventive,]72--[,]4-16],]72--[,True,True,False,False,False,False,TMH - visite entretien caisson VMC sanitaire
1,corrective,]24-48],]72--[,]72--[,True,True,True,False,False,True,TMH - dépannage ventilation
0,preventive,0,]48-72],]48-72],False,False,True,True,False,False,TMH - visite entretien ventilation
0,preventive,]72--[,]16-24],]72--[,True,True,True,False,False,False,TMH - visite entretien caisson VMC sanitaire
0,preventive,]0-1],]1-2],]1-2],True,True,False,False,False,False,TMH - visite entretien ventilation
0,corrective,]72--[,]4-16],]72--[,True,False,True,False,False,True,TMH - dépannage ventilation
0,preventive,]0-1],]72--[,]72--[,True,True,True,False,True,False,TMH - visite entretien ventilation
0,preventive,0,]24-48],]24-48],True,False,False,False,False,False,TMH - visite entretien ventilation
0,preventive,]2-4],]1-2],]2-4],True,True,False,False,False,False,TMH - visite entretien ventilation
0,corrective,]24-48],]0-1],]24-48],True,True,False,False,False,True,TMH - dépannage ventilation
0,preventive,]1-2],]1-2],]2-4],True,True,False,False,False,False,TMH - visite entretien ventilation
0,preventive,]0-1],]72--[,]72--[,True,True,True,False,True,False,TMH - visite entretien ventilation
0,preventive,]1-2],]72--[,]72--[,True,True,True,False,True,False,TMH - visite entretien ventilation
0,preventive,]2-4],]72--[,]72--[,True,True,True,False,True,False,TMH - visite entretien ventilation
1,corrective,]48-72],]72--[,]72--[,True,True,True,False,False,True,TMH - dépannage ventilation
0,preventive,0,]72--[,]72--[,False,False,False,False,True,False,TMH - visite entretien ventilation
1,corrective,]24-48],]72--[,]72--[,True,False,True,False,False,True,TMH - dépannage ventilation
1,corrective,]72--[,]72--[,]72--[,True,True,True,False,False,True,TGH82 - dépannage ventilation
1,corrective,]24-48],]1-2],]24-48],True,True,True,False,False,True,TMH - dépannage ventilation
1,corrective,]24-48],]72--[,]72--[,True,False,True,False,False,True,TMH - dépannage ventilation
1,corrective,]24-48],]72--[,]72--[,True,False,True,True,False,True,TMH - dépannage ventilation
0,corrective,]72--[,]72--[,]72--[,True,False,True,False,False,True,TMH - dépannage ventilation
0,corrective,]48-72],]0-1],]48-72],True,True,False,False,False,True,TMH - dépannage ventilation
0,preventive,]4-16],]72--[,]72--[,True,True,True,False,False,False,TMH - visite entretien ventilation
0,preventive,]72--[,0,]72--[,False,True,True,True,False,False,TMH - visite entretien ventilation
0,preventive,]0-1],]72--[,]72--[,True,True,True,False,False,False,TMH - visite entretien ventilation
0,preventive,0,]72--[,]72--[,True,False,True,True,False,False,TMH - visite entretien ventilation
0,corrective,]48-72],]72--[,]72--[,True,True,True,False,True,True,TMH - dépannage ventilation
0,preventive,]48-72],]72--[,]72--[,False,True,True,False,False,True,TMH - visite entretien ventilation
1,corrective,]24-48],]16-24],]24-48],True,True,True,False,False,True,TMH - dépannage ventilation
1,corrective,]72--[,]72--[,]72--[,True,True,True,False,False,True,TMH - dépannage ventilation
0,preventive,]72--[,0,]72--[,False,True,False,False,False,False,TMH - visite entretien caisson VMC sanitaire
0,preventive,]72--[,0,]72--[,True,True,False,False,False,False,TMH - visite entretien ventilation
0,preventive,0,0,0,True,False,True,False,False,False,TMH - visite entretien ventilation
0,preventive,0,]16-24],]16-24],True,False,True,True,False,False,TMH - visite entretien ventilation
0,corrective,]48-72],]1-2],]48-72],True,False,True,False,False,True,TMH - dépannage ventilation
0,preventive,0,0,0,True,False,True,False,False,False,TMH - visite entretien ventilation
0,preventive,]0-1],]24-48],]24-48],True,True,True,False,False,False,TMH - visite entretien ventilation
1,corrective,]48-72],]72--[,]72--[,True,False,True,False,False,True,TMH - dépannage ventilation
1,corrective,]72--[,]72--[,]72--[,True,True,True,False,True,True,TMH - dépannage ventilation
0,corrective,]72--[,]0-1],]72--[,True,True,True,True,False,True,TMH - dépannage ventilation
0,corrective,0,]4-16],]4-16],True,False,True,False,False,False,TMH - dépannage ventilation
0,preventive,]72--[,]72--[,]72--[,False,True,True,False,False,False,TMH - visite entretien caisson VMC sanitaire
0,preventive,0,]48-72],]48-72],True,False,True,False,False,False,TMH - visite entretien ventilation
0,corrective,]72--[,0,]72--[,True,False,True,False,False,True,TMH - dépannage ventilation
0,preventive,0,]72--[,]72--[,True,False,True,True,True,False,TMH - visite entretien ventilation
0,preventive,]72--[,]72--[,]72--[,False,True,True,False,False,False,TMH - visite entretien ventilation
0,preventive,]24-48],]2-4],]24-48],True,True,True,False,False,False,TMH - visite entretien caisson VMC sanitaire
0,preventive,]16-24],]1-2],]16-24],True,True,True,False,False,False,TMH - visite entretien ventilation
0,corrective,]72--[,]2-4],]72--[,True,False,True,True,False,True,TMH - dépannage ventilation
0,corrective,0,]0-1],]0-1],True,False,True,False,False,False,TMH - dépannage ventilation
0,preventive,0,]4-16],]4-16],True,False,False,False,False,False,TMH - visite entretien ventilation
0,corrective,]16-24],]16-24],]24-48],True,True,True,False,False,True,TMH - dépannage ventilation
0,preventive,]72--[,0,]72--[,True,True,True,False,False,True,TMH - visite entretien ventilation
0,preventive,]72--[,]0-1],]72--[,True,True,False,False,False,False,TMH - visite entretien ventilation
0,preventive,]72--[,]24-48],]72--[,True,True,False,False,False,False,TMH - visite entretien ventilation
0,corrective,]16-24],]4-16],]24-48],True,False,True,False,False,True,TMH - dépannage ventilation
0,preventive,]2-4],]4-16],]4-16],True,True,False,False,False,False,TMH - visite entretien ventilation
0,preventive,0,]72--[,]72--[,True,False,True,True,False,False,TMH - visite entretien ventilation
0,corrective,]72--[,]72--[,]72--[,True,True,True,False,False,True,TMH - dépannage ventilation
0,preventive,]72--[,]72--[,]72--[,True,True,True,True,True,True,TMH - visite entretien ventilation
0,preventive,]72--[,0,]72--[,True,True,True,False,True,False,TMH - visite entretien ventilation
0,preventive,]72--[,]72--[,]72--[,True,True,True,True,True,False,TMH - visite entretien ventilation
0,preventive,]72--[,]72--[,]72--[,True,True,True,True,False,False,TMH - visite entretien ventilation
1,corrective,]72--[,0,]72--[,True,False,True,False,False,True,TMH - dépannage ventilation
0,preventive,]72--[,]72--[,]72--[,True,True,True,True,True,False,TMH - visite entretien ventilation
1,corrective,]48-72],]48-72],]72--[,True,False,True,False,False,True,TMH - dépannage ventilation
0,corrective,]48-72],]24-48],]72--[,True,True,True,True,False,True,TMH - dépannage ventilation
0,preventive,]2-4],]72--[,]72--[,True,True,True,False,False,False,TMH - visite entretien ventilation
0,corrective,]72--[,]16-24],]72--[,True,True,True,False,False,True,Dépannage
0,preventive,0,]72--[,]72--[,False,False,True,True,True,False,TMH - visite entretien ventilation
0,preventive,0,]72--[,]72--[,False,False,True,True,True,False,TMH - visite entretien ventilation
0,preventive,]72--[,]72--[,]72--[,False,True,False,False,True,False,TMH - visite entretien ventilation
0,preventive,]72--[,]24-48],]72--[,True,True,False,False,False,False,TMH - visite entretien ventilation
1,corrective,]72--[,]1-2],]72--[,True,False,True,False,False,True,TMH - dépannage ventilation
1,corrective,]72--[,]72--[,]72--[,True,True,True,True,False,True,TMH - dépannage ventilation
0,preventive,]72--[,]1-2],]72--[,True,True,True,False,False,False,TMH - visite entretien caisson VMC sanitaire
