Algorithm,Comfort,Heating_1,Heating_2,Multiservice_1,Multiservice_2,Multiservice_3,Multiservice_4,Ventilation
acac,0.02,0.04,0.17,6.95,0.08,0.17,0.03,0.05
accf,0.19,0.03,0.45,15.68,0.44,0.18,0.03,0.30
acn,0.19,0.04,0.45,16.61,0.44,0.18,0.03,0.30
adt,0.70,0.03,0.08,4.77,0.08,0.18,0.03,0.10
cba,0.30,0.04,0.50,18.92,0.44,0.24,0.05,0.31
cba2,0.41,0.04,0.44,18.34,0.46,0.25,0.05,0.30
cmar,0.17,0.03,0.12,7.98,0.11,0.28,0.06,0.27
cpar,0.30,0.05,0.45,0.00,0.02,0.00,0.06,0.31
L3,0.19,0.04,0.45,16.63,0.45,0.18,0.03,0.31
mac,0.18,0.03,0.45,16.61,0.43,0.18,0.03,0.31
carrt,0.26,0.03,0.45,0.17,0.46,0.18,0.06,0.31
