Algorithm,Comfort,Heating_1,Heating_2,Multiservice_1,Multiservice_2,Multiservice_3,Multiservice_4,Ventilation
acac,12.45,31.23,13.45,10.11,49.08,23.61,19.75,18.95
accf,62.64,56.78,83.63,63.48,79.66,56.94,61.73,10.97
acn,59.20,39.12,75.44,61.24,79.66,52.78,41.98,10.97
adt,45.21,60.57,49.12,43.26,50.92,50.00,52.26,0.00
cba,71.84,56.15,86.55,73.03,9.00,68.06,56.79,0.25
cba2,81.03,72.56,83.63,71.91,9.39,68.06,77.37,2.74
cmar,41.57,18.61,52.05,24.16,52.44,37.50,36.21,0.00
cpar,71.84,68.45,87.13,3.37,8.24,69.44,65.43,5.99
L3,74.14,69.40,85.38,66.29,13.41,70.83,74.07,10.97
mac,65.13,43.22,82.46,60.11,73.61,70.83,49.38,10.97
carrt,74.52,56.15,84.21,71.34,73.56,62.50,70.78,78.05
