Algorithm,Comfort,Heating_1,Heating_2,Multiservice_1,Multiservice_2,Multiservice_3,Multiservice_4,Ventilation
acac,0.18,0.06,0.36,0.22,0.44,0.18,0.07,0.10
accf,0.21,0.13,0.45,0.16,0.63,0.18,0.12,0.30
acn,0.21,0.08,0.45,0.17,0.54,0.18,0.07,0.31
adt,0.06,0.03,0.08,0.00,0.77,0.18,0.03,0.10
cba,0.21,0.11,0.62,0.22,0.62,0.23,0.11,0.31
cba2,0.28,0.18,0.56,0.24,0.76,0.24,0.26,0.30
cmar,0.19,0.06,0.48,0.06,0.36,0.22,0.09,0.27
cpar,0.21,0.16,0.60,0.00,0.00,0.00,0.12,0.31
L3,0.21,0.14,0.59,0.31,0.72,0.43,0.14,0.31
mac,0.21,0.08,0.57,0.19,0.51,0.18,0.13,0.31
carrt,0.26,0.18,0.59,0.18,0.45,0.18,0.17,0.31
